partner_name,address,city,state,county,partner_type
Benevolent Healthcare Foundation / Project C.U.R.E.,"2300 Clifton Ave, Nashville, TN, USA",Nashville,Tennessee,Davidson,medical_health
Bent Whisker Ranch LLC,7540 Harper Road,Joelton,Tennessee,Davidson,other
Benton Hall Academy,5555 Franklin Pike,Nashville,Tennessee,Davidson,school_summer
Best Buddies International / Best Buddies Tennessee,"340 Seven Springs Way, Suite 750",Brentwood,Tennessee,Williamson,medical_health
Bethany Christian Services,"709 Nissan Dr, Smyrna, TN 37167, USA",Smyrna,Tennessee,Rutherford,transitional_housing
Bethesda Workshops,"1035 Acorn Dr, Nashville, TN 37210, USA",Nashville,Tennessee,Davidson,medical_health
Bethlehem Centers of Nashville,"1417 Charlotte Ave, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,community_development
Better Decisions,"5643 Kendall Dr, Nashville, TN, USA",Nashville,Tennessee,Davidson,workforce_development
Better OptionsTN,"511 W Meade Blvd, Franklin, TN 37064, USA",Franklin,Tennessee,Williamson,other
BeWell in School,"2817 West End Ave 126 340, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,school_summer
Beyond The Natural Foundation,"6014 Cortez Ct, Hermitage, TN 37076, USA",Nashville,Tennessee,Davidson,other
Big Brothers Big Sisters of Middle Tennessee,"1704 Charlotte Ave Suite #130, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,after_school
Bike Fun,"2621 Nolensville Pk, Nashville, TN 37211, USA",Nashville,Tennessee,Davidson,other
Black Girl Lessons,1017 Crimson Way,Hendersonville,Tennessee,Sumner,after_school
Black Lemonade,"100 Powell Pl, Nashville, TN 37204, USA",Nashville,Tennessee,Davidson,other
Black Mental Health Village,"2013 25th Avenue North, Nashville, TN, USA",Nashville,Tennessee,Davidson,medical_health
Blakemore Children's Center,3604 Whitland Avenue,Nashville,Tennessee,Davidson,school_summer
Blessed Earth Tennessee,408 Hill St,Lebanon,Tennessee,Wilson,other
Blessed Revelations,"5440 Hickory Woods Dr, Antioch, TN 37013, USA",Antioch,Tennessee,Davidson,other
Blind & Charity Fund Downtown Nashville Lions Club,3022 Cora Bell Lane,Franklin,Tennessee,Williamson,medical_health
Blind Early Services of TN (BEST),"104 E Park Dr, Brentwood, TN 37027, USA Suite 100",Brentwood,Tennessee,Williamson,medical_health
Blood:Water Mission,"1108 McKennie Avenue suite 260, Nashville, TN, USA",Nashville,Tennessee,Davidson,other
Bonaparte's Retreat,PO Box 150232,Nashville,Tennessee,Davidson,other
Book'em,"161 Rains Ave, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,after_school
Books of John,4701 Trousdale Drive,Nashville,Tennessee,Davidson,other
Boomin University,"6339 Charlotte Pike #934, Nashville, TN 37209, USA",Nashville,Tennessee,Davidson,after_school
Bordeaux Hospital Advocates,"305 Haywood Ln, Nashville, TN 37211, USA",Nashville,Tennessee,Davidson,medical_health
Borderless Arts Tennessee,"1210 Lake Rise Pl, Gallatin, TN 37066, USA",Gallatin,Tennessee,Sumner,other
Both Hands Foundation,"783 Old Hickory Boulevard, Brentwood, TN, USA",Brentwood,Tennessee,Williamson,other
Box 55 Association,"316 Moonwater Ct, Hermitage, TN, USA",Hermitage,Tennessee,Davidson,other
Boxing Resource Center,"405 42nd Ave N, Nashville, TN 37209, USA",Nashville,Tennessee,Davidson,other
Boys & Girls Clubs of Middle Tennessee,"1704 Charlotte Ave STE 200, Nashville, TN 37203, USA",Nashville,Tennessee,Davidson,after_school
Boys & Girls Clubs of Rutherford County,"820 Jones Blvd, Murfreesboro, TN 37129, USA",Murfreesboro,Tennessee,Rutherford,after_school
Brain Injury and Stroke Charity of Tennessee,"824 Fonnic Drive, Nashville, TN, USA",Nashville,Tennessee,Davidson,medical_health
